Name	CMP	P/E	Market Cap	Div Yield %	NP Qtr	Qtr Profit %	Sales Qtr	Qtr Sales %	ROCE %	PAT Ann
Reliance Industries	2961.4	28.75	2003965.01	0.3	21243	-1.34	236533	11.13	10.02	69621
TCS	3814.75	29.73	1380210.04	1.45	12502	9.15	61237	3.51	64.28	46598.19
HDFC Bank	1608.75	19.07	1223559.58	1.22	18012.87	39.92	79433.61	67.06	9.5	64062.04
Bharti Airtel	1428.7	71.63	853241.05	0.27	2068.2	29.63	37599.1	4.42	13.13	11911.52
ICICI Bank	1123.05	17.89	789893.47	0.72	12200.05	18.46	42606.72	23.72	8.37	44256.37
St Bk of India	844.6	11.09	753772.79	1.61	22202.73	18.18	117469.38	19.77	6.16	67102.23
Life Insurance	1056.1	16.27	667983.02	0.93	13784.08	4.49	238968.3	18.75	66.35	40884.77
Infosys	1497.65	23.92	621808.55	2.51	7975	30.04	37923	1.29	39.99	26025.25
Hind. Unilever	2485	56.87	583991.14	1.69	2561	-1.59	15210	-0.03	27.24	10272.57
ITC	428.8	26.13	535406.98	3.2	5190.71	0.02	17922.7	1.63	37.46	20464.49
Larsen & Toubro	3688.7	39.38	507249.99	0.76	5013.17	8.72	67078.68	14.99	13.44	12899.15
Bajaj Finance	7331.25	31.35	453801.75	0.49	3824.53	21.11	14926.21	31.35	11.87	14451.17
Maruti Suzuki	12576.2	29.26	395398.93	0.71	3952.3	47.05	38471.2	19.43	23.68	13488.2
HCL Technologies	1438	24.79	390224.96	3.58	3995	0.13	28499	7.11	29.84	15702
Adani Enterprises	3307.9	107.46	377100.97	0.04	352.25	-41.62	29180.02	0.82	9.87	3510.12
Hindustan Aeronautics	5533.35	48.64	370056.56	0.5	4292.04	51.06	14768.78	18.2	38.9	7595.04
M & M	2960.5	32.72	368347.97	0.71	3124.94	5.37	35451.73	9.23	13.66	11268.64
Axis Bank	1190.65	13.94	367872.61	0.08	7630.07	53.87	30230.58	22.74	7.53	26386.2
Sun Pharma. Inds.	1519	36.44	364458.95	0.76	2658.74	28.7	11982.9	9.63	17.31	10005.02
Tata Motors	985.65	11.2	361348.61	0.3	17528.59	213.8	119986.31	13.27	20.11	32193.28
NTPC	369.8	17.13	358582.78	1.95	6490.05	26.91	47622.06	7.61	10.37	20811.89
ONGC	275.75	6.87	346901.3	4.06	11526.53	28.88	166770.63	1.65	18.44	50269.36
Kotak Mahindra Bank	1719.6	18.8	341848.16	0.09	5337.2	16.88	15156.18	26.5	8.75	18213.21
Avenue Supermarts	5042.05	129.42	328102.85	0	563.14	22.4	12726.55	20.13	19.55	2535.61
UltraTech Cement	11131.5	45.58	321363.43	0.34	2258.58	38.68	20418.94	9.41	15.26	7057.48
Titan Company	3589	91.18	318626.44	0.28	771	5.62	12494	20.6	22.7	3496
Adani Ports	1444	35.25	311924.04	0.41	2014.77	2.53	6896.5	18.97	12.93	8865.88
Power Grid Corporation	331.7	19.79	308501.01	3.35	4166.33	-3.62	11978.11	-2.33	12.98	15573.16
Coal India	489	8.13	301357.48	4.97	8640.45	25.78	37410.39	-1.94	111.68	31856.19
Tata Steel	119.15	6.26	301251.26	3.44	2523.35	8.44	65945.61	7.9	10.84	12601.65
JSW Steel	765.1	20.83	298778.69	0.57	4200	64.16	47156	7.41	14.16	18197
HDFC Life Insurance	635.25	81.44	276361.56	0.35	323.78	-23.86	23173.22	73.38	5.18	2688.82
Tech Mahindra	1163.25	62.33	258488.04	3	692.7	-12.06	13377.2	-2.64	20.24	4150.9
SBI Life Insurance	1343.8	72.26	250698.71	0.24	698.56	-18.68	25825.16	19.64	11.73	3356.15
Grasim Industries	1915.75	30.64	235129.56	0.65	1722.58	101.29	29943.85	22.09	7.55	10845.11
Wipro	385.1	19.25	212009.3	1.72	2675.6	12.24	22831.7	6.21	20.58	10582.9
Divi's Laboratories	3426.35	59.97	204088.26	0.63	356.92	-48.55	1803.57	-19.17	12.49	3307.57
Hero MotoCorp	3161.55	23.92	195022.24	2.73	721	34.02	8948	6.11	14.68	8310.3
Cipla	1220.6	35.58	178340.1	0.6	1147.04	51.72	6697.85	14.88	13.89	5748.16
Britannia Industries	4923.3	55.7	164064.75	1.47	393.37	35.86	4171.55	6.34	39.2	2818.7
Dabur India	562.55	50.9	99589.89	1.03	435.56	7.31	3025.83	10.91	27.91	1806.9
Adani Green Energy	934.85	370.96	1478294.2	0	232.98	-53.53	2530.14	42.33	12.49	973.87
SBI Cards & Payment	748.5	25.37	70562.78	0.75	603.42	15.34	4043.02	27.14	7.97	2369.59
Bajaj Finserv	1574.6	42.2	298717.72	0.57	1457.85	57.02	26647.99	28.18	11.96	10360.85
Ambuja Cements	474	32.78	94919.15	0.55	952.04	-12.83	8822	-8.84	10.31	4622.64
Dr. Reddy's Lab	5116.1	21.27	84973.45	0.68	1154.2	18.59	6772.5	28.84	20.53	6456.8
Vedanta	248.55	5.92	92847.85	0	4722	40.89	35378	16.85	21.21	15701
Apollo Hospitals	4838.6	83.12	69786.82	0.32	233.84	62.04	4457.47	15.95	14.55	1465.83
Bank of Baroda	206.55	7.13	107197.04	2.42	4174.42	86.09	20096.1	31.67	5.37	15143.34
Eicher Motors	3808.9	32.17	105232.91	0.78	932.16	29.88	4168.85	18.71	21.2	4941.67
Name	CMP	P/E	Market Cap	Div Yield %	NP Qtr	Qtr Profit %	Sales Qtr	Qtr Sales %	ROCE %	PAT Ann
Reliance Industries	1837.723265	59.84662041	1204.683363	1.062253061	-1332.235127	27.38475102	-6481.148188	16.1749551	15.00454694	-2245.724751
TCS	1815.873354	60.47693493	-15519.25431	1.05702377	-1574.466065	27.55310204	-8282.579246	16.21906315	14.78871741	-3003.459667
HDFC Bank	1794.023443	61.10724946	-32243.19198	1.051794478	-1816.697003	27.72145306	-10084.0103	16.26317119	14.57288788	-3761.194582
Bharti Airtel	1772.173532	61.73756399	-48967.12965	1.046565186	-2058.927941	27.88980408	-11885.44136	16.30727923	14.35705834	-4518.929498
ICICI Bank	1750.323621	62.36787851	-65691.06732	1.041335894	-2301.15888	28.0581551	-13686.87242	16.35138727	14.14122881	-5276.664414
St Bk of India	1728.473709	62.99819304	-82415.005	1.036106603	-2543.389818	28.22650612	-15488.30348	16.39549532	13.92539928	-6034.39933
Life Insurance	1706.623798	63.62850756	-99138.94267	1.030877311	-2785.620756	28.39485714	-17289.73454	16.43960336	13.70956975	-6792.134245
Infosys	1684.773887	64.25882209	-115862.8803	1.025648019	-3027.851695	28.56320816	-19091.1656	16.4837114	13.49374022	-7549.869161
Hind. Unilever	1662.923976	64.88913661	-132586.818	1.020418727	-3270.082633	28.73155918	-20892.59665	16.52781945	13.27791068	-8307.604077
ITC	1641.074065	65.51945114	-149310.7557	1.015189436	-3512.313571	28.8999102	-22694.02771	16.57192749	13.06208115	-9065.338993
Larsen & Toubro	1619.224154	66.14976567	-166034.6934	1.009960144	-3754.544509	29.06826122	-24495.45877	16.61603553	12.84625162	-9823.073908
Bajaj Finance	1597.374242	66.78008019	-182758.631	1.004730852	-3996.775448	29.23661224	-26296.88983	16.66014358	12.63042209	-10580.80882
Maruti Suzuki	1575.524331	67.41039472	-199482.5687	0.999501561	-4239.006386	29.40496327	-28098.32089	16.70425162	12.41459256	-11338.54374
HCL Technologies	1553.67442	68.04070924	-216206.5064	0.994272269	-4481.237324	29.57331429	-29899.75195	16.74835966	12.19876303	-12096.27866
Adani Enterprises	1531.824509	68.67102377	-232930.444	0.989042977	-4723.468263	29.74166531	-31701.183	16.79246771	11.98293349	-12854.01357
Hindustan Aeronautics	1509.974598	69.3013383	-249654.3817	0.983813685	-4965.699201	29.91001633	-33502.61406	16.83657575	11.76710396	-13611.74849
M & M	1488.124687	69.93165282	-266378.3194	0.978584394	-5207.930139	30.07836735	-35304.04512	16.88068379	11.55127443	-14369.4834
Axis Bank	1466.274776	70.56196735	-283102.2571	0.973355102	-5450.161078	30.24671837	-37105.47618	16.92479184	11.3354449	-15127.21832
Sun Pharma. Inds.	1444.424864	71.19228187	-299826.1947	0.96812581	-5692.392016	30.41506939	-38906.90724	16.96889988	11.11961537	-15884.95323
Tata Motors	1422.574953	71.8225964	-316550.1324	0.962896519	-5934.622954	30.58342041	-40708.3383	17.01300792	10.90378583	-16642.68815
NTPC	1400.725042	72.45291092	-333274.0701	0.957667227	-6176.853892	30.75177143	-42509.76935	17.05711597	10.6879563	-17400.42307
ONGC	1378.875131	73.08322545	-349998.0077	0.952437935	-6419.084831	30.92012245	-44311.20041	17.10122401	10.47212677	-18158.15798
